Model Name,Dataset,Quantization Batch Size,Original Top1 Accuracy,Quantized Top1 Accuracy,Original Top5 Accuracy,Quantized Top5 Accuracy,Bits,MLP_Alphabet_Scalar,CNN_Alphabet_Scalar,MLP_Percentile,CNN_Percentile,Stochastic Quantization,Regularizer,Lambda,Original Sparsity,Quantized Sparsity,Retain_rate,Fusion,Seed,Subset_Inds,Subset_Classes,Max_KL,Min_KL,Avg_KL,Median_KL,Classes Repeated,Fine-Tuned Top1 Accuracy,Fine-Tuned Top5 Accuracy,Quant+FT Top1 Accuracy,Quant+FT Top5 Accuracy,Original Top1 Accuracy (Pick Sub),Original Top5 Accuracy (Pick Sub),Quantized Top1 Accuracy (Pick Sub),Quantized Top5 Accuracy (Pick Sub),Fine-Tuned Top1 Accuracy (Pick Sub),Fine-Tuned Top5 Accuracy (Pick Sub),Quant+FT Top1 Accuracy (Pick Sub),Quant+FT Top5 Accuracy (Pick Sub),Fine-Tuned Sparsity,Quant+FT Sparsity
resnet50,CIFAR100,64,0.767,0.69,0.961,0.981,4,1.16,1.16,1,1,False,,0.1,0.0,0.4528,0.25,False,0,"[96, 33, 68, 27, 72, 75, 47, 55, 56, 59]","['willow_tree', 'forest', 'road', 'crocodile', 'seal', 'skunk', 'maple_tree', 'otter', 'palm_tree', 'pine_tree']",7.107001226641158,0.0743972312083672,1.9507734809110828,1.6665523585980744,False,0.833,0.994,0.638,0.972,0.851,0.998,0.691,0.993,0.844,0.998,0.638,0.973,0.0,0.4524
resnet50,CIFAR100,64,0.878,0.952,0.989,0.998,4,1.16,1.16,1,1,False,,0.1,0.0,0.4586,0.25,False,0,"[0, 39, 49, 52, 53, 23, 62, 58, 61, 94]","['apple', 'keyboard', 'mountain', 'oak_tree', 'orange', 'cloud', 'poppy', 'pickup_truck', 'plate', 'wardrobe']",192.25317582671377,0.7019652521171289,72.53466098732422,66.9804369236124,False,0.981,0.999,0.955,0.999,0.981,1.0,0.953,0.998,0.985,1.0,0.955,0.999,0.0,0.4569
resnet50,CIFAR100,64,0.866,0.871,0.979,0.986,4,1.16,1.16,1,1,False,,0.1,0.0,0.4558,0.25,False,0,"[24, 21, 95, 56, 12, 58, 73, 74, 71, 43]","['cockroach', 'chimpanzee', 'whale', 'palm_tree', 'bridge', 'pickup_truck', 'shark', 'shrew', 'sea', 'lion']",47.928266156435306,0.5579436567759732,15.796743425957702,11.335174109837542,False,0.952,0.996,0.853,0.989,0.965,0.997,0.871,0.995,0.958,0.998,0.853,0.989,0.0,0.4509
resnet50,CIFAR100,64,0.821,0.729,0.952,0.953,4,1.16,1.16,1,1,False,,0.1,0.0,0.4528,0.25,False,0,"[99, 7, 44, 45, 78, 79, 77, 26, 91, 29]","['worm', 'beetle', 'lizard', 'lobster', 'snake', 'spider', 'snail', 'crab', 'trout', 'dinosaur']",2.52451934960512,0.0692333107378202,0.5166580626320543,0.3519012029534839,False,0.887,0.986,0.632,0.946,0.894,0.994,0.729,0.962,0.891,0.993,0.632,0.947,0.0,0.4557
resnet50,CIFAR100,64,0.879,0.946,0.989,0.995,4,1.16,1.16,1,1,False,,0.1,0.0,0.4534,0.25,False,0,"[0, 1, 39, 71, 49, 52, 53, 58, 61, 94]","['apple', 'aquarium_fish', 'keyboard', 'sea', 'mountain', 'oak_tree', 'orange', 'pickup_truck', 'plate', 'wardrobe']",192.25317582671377,0.5440176130360911,69.25226873583703,61.19456181566977,False,0.981,1.0,0.961,1.0,0.984,1.0,0.948,0.998,0.986,1.0,0.961,1.0,0.0,0.4561
resnet50,CIFAR100,64,0.796,0.86,0.962,0.975,4,1.16,1.16,1,1,False,,0.1,0.0,0.4543,0.25,False,0,"[24, 60, 90, 89, 57, 67, 33, 35, 92, 72]","['cockroach', 'plain', 'train', 'tractor', 'pear', 'ray', 'forest', 'girl', 'tulip', 'seal']",44.85273441778765,0.5278731054775405,10.912363944495524,8.530702553850608,False,0.96,0.994,0.825,0.985,0.97,0.998,0.86,0.989,0.974,0.997,0.825,0.985,0.0,0.4511
resnet50,CIFAR100,64,0.823,0.714,0.955,0.945,4,1.16,1.16,1,1,False,,0.1,0.0,0.4536,0.25,False,0,"[64, 97, 34, 66, 38, 42, 43, 80, 88, 63]","['possum', 'wolf', 'fox', 'raccoon', 'kangaroo', 'leopard', 'lion', 'squirrel', 'tiger', 'porcupine']",2.2877043224290823,0.1115033507263587,0.7734368790561139,0.7937711868279003,False,0.889,0.99,0.728,0.95,0.888,0.991,0.715,0.956,0.896,0.993,0.728,0.952,0.0,0.4538
resnet50,CIFAR100,64,0.866,0.956,0.989,0.996,4,1.16,1.16,1,1,False,,0.1,0.0,0.4584,0.25,False,0,"[0, 39, 81, 49, 52, 53, 62, 58, 61, 94]","['apple', 'keyboard', 'streetcar', 'mountain', 'oak_tree', 'orange', 'poppy', 'pickup_truck', 'plate', 'wardrobe']",192.25317582671377,0.8441400222921807,71.16407210338333,66.87760926469888,False,0.98,0.999,0.963,0.999,0.984,1.0,0.957,1.0,0.984,1.0,0.963,0.999,0.0,0.4607
resnet50,CIFAR100,64,0.813,0.882,0.971,0.985,4,1.16,1.16,1,1,False,,0.1,0.0,0.4561,0.25,False,0,"[10, 29, 0, 78, 83, 37, 11, 90, 49, 39]","['bowl', 'dinosaur', 'apple', 'snake', 'sweet_pepper', 'house', 'boy', 'train', 'mountain', 'keyboard']",98.3965311689507,0.1518359509107778,20.753570393765266,13.120138257985897,False,0.957,0.998,0.875,0.989,0.963,0.999,0.883,0.992,0.965,0.999,0.875,0.99,0.0,0.4584
resnet50,CIFAR100,64,0.748,0.672,0.963,0.971,4,1.16,1.16,1,1,False,,0.1,0.0,0.4604,0.25,False,0,"[32, 2, 35, 98, 8, 11, 46, 48, 84, 25]","['flatfish', 'baby', 'girl', 'woman', 'bicycle', 'boy', 'man', 'motorcycle', 'table', 'couch']",3.37916282369197,0.0381532870564848,1.5017699498445691,1.522912015598558,False,0.81,0.983,0.672,0.955,0.803,0.989,0.672,0.976,0.814,0.987,0.672,0.955,0.0,0.4564
