Model Name,Dataset,Quantization Batch Size,Original Top1 Accuracy,Quantized Top1 Accuracy,Original Top5 Accuracy,Quantized Top5 Accuracy,Bits,MLP_Alphabet_Scalar,CNN_Alphabet_Scalar,MLP_Percentile,CNN_Percentile,Stochastic Quantization,Regularizer,Lambda,Original Sparsity,Quantized Sparsity,Retain_rate,Fusion,Seed,Subset_Inds,Subset_Classes,Max_KL,Min_KL,Avg_KL,Median_KL,Classes Repeated,Fine-Tuned Top1 Accuracy,Fine-Tuned Top5 Accuracy,Quant+FT Top1 Accuracy,Quant+FT Top5 Accuracy,Original Top1 Accuracy (Pick Sub),Original Top5 Accuracy (Pick Sub),Quantized Top1 Accuracy (Pick Sub),Quantized Top5 Accuracy (Pick Sub),Fine-Tuned Top1 Accuracy (Pick Sub),Fine-Tuned Top5 Accuracy (Pick Sub),Quant+FT Top1 Accuracy (Pick Sub),Quant+FT Top5 Accuracy (Pick Sub),Fine-Tuned Sparsity,Quant+FT Sparsity
googlenet,CIFAR100,64,0.775,0.883,0.931,0.972,3,1.16,1.16,1,1,False,,0.1,0.0,0.5076,0.25,False,0,"[64, 60, 9, 27, 8, 47, 61, 76, 38, 97]","['possum', 'plain', 'bottle', 'crocodile', 'bicycle', 'maple_tree', 'plate', 'skyscraper', 'kangaroo', 'wolf']",105.292042226243,0.3616941168521759,21.329350230523325,13.609944542019571,False,0.92,0.986,0.913,0.991,0.939,0.998,0.922,0.996,0.933,0.999,0.915,0.997,0.0,0.5061
googlenet,CIFAR100,64,0.82,0.904,0.947,0.975,3,1.16,1.16,1,1,False,,0.1,0.0,0.5081,0.25,False,0,"[42, 53, 69, 68, 99, 98, 16, 88, 12, 91]","['leopard', 'orange', 'rocket', 'road', 'worm', 'woman', 'can', 'tiger', 'bridge', 'trout']",121.9860719676803,0.5194713211047917,22.193240658735604,12.993977741231229,False,0.921,0.996,0.918,0.994,0.956,0.999,0.933,0.999,0.944,0.999,0.918,0.998,0.0,0.5035
googlenet,CIFAR100,64,0.745,0.762,0.91,0.944,3,1.16,1.16,1,1,False,,0.1,0.0,0.5058,0.25,False,0,"[5, 40, 9, 10, 8, 16, 84, 22, 25, 28]","['bed', 'lamp', 'bottle', 'bowl', 'bicycle', 'can', 'table', 'clock', 'couch', 'cup']",6.644042948640921,0.20783414433733655,1.9315162233761511,1.563029569498823,False,0.809,0.953,0.785,0.958,0.832,0.982,0.771,0.969,0.824,0.98,0.785,0.97,0.0,0.5017
googlenet,CIFAR100,64,0.875,0.957,0.978,0.987,3,1.16,1.16,1,1,False,,0.1,0.0,0.5173,0.25,False,0,"[0, 69, 39, 49, 52, 53, 20, 62, 58, 94]","['apple', 'rocket', 'keyboard', 'mountain', 'oak_tree', 'orange', 'chair', 'poppy', 'pickup_truck', 'wardrobe']",192.25317582671377,0.8441400222921807,69.55800352629048,66.9804369236124,False,0.967,0.997,0.972,0.996,0.987,1.0,0.977,0.999,0.977,1.0,0.972,1.0,0.0,0.5069
googlenet,CIFAR100,64,0.669,0.787,0.916,0.955,3,1.16,1.16,1,1,False,,0.1,0.0,0.5072,0.25,False,0,"[73, 78, 21, 4, 8, 11, 3, 46, 98, 25]","['shark', 'snake', 'chimpanzee', 'beaver', 'bicycle', 'boy', 'bear', 'man', 'woman', 'couch']",18.58161748327268,0.09980926548996322,6.004868226107058,5.602446026477798,False,0.812,0.973,0.8,0.974,0.85,0.992,0.808,0.989,0.831,0.989,0.801,0.982,0.0,0.5035
googlenet,CIFAR100,64,0.798,0.905,0.942,0.98,3,1.16,1.16,1,1,False,,0.1,0.0,0.5107,0.25,False,0,"[48, 24, 88, 41, 1, 69, 2, 66, 46, 50]","['motorcycle', 'cockroach', 'tiger', 'lawn_mower', 'aquarium_fish', 'rocket', 'baby', 'raccoon', 'man', 'mouse']",33.14558417360718,0.4326584026440998,8.446147400701769,7.204189168975963,False,0.912,0.986,0.903,0.984,0.944,0.998,0.916,0.993,0.928,0.997,0.905,0.993,0.0,0.5037
googlenet,CIFAR100,64,0.783,0.831,0.929,0.961,3,1.16,1.16,1,1,False,,0.1,0.0,0.5096,0.25,False,0,"[5, 8, 40, 41, 11, 48, 84, 86, 87, 25]","['bed', 'bicycle', 'lamp', 'lawn_mower', 'boy', 'motorcycle', 'table', 'telephone', 'television', 'couch']",7.3148195901587005,0.20783414433733655,2.107963247967088,1.8810193055629747,False,0.862,0.969,0.836,0.97,0.882,0.988,0.836,0.983,0.879,0.991,0.838,0.982,0.0,0.5023
googlenet,CIFAR100,64,0.845,0.943,0.972,0.99,3,1.16,1.16,1,1,False,,0.1,0.0,0.5104,0.25,False,0,"[0, 39, 71, 49, 52, 53, 58, 61, 94, 31]","['apple', 'keyboard', 'sea', 'mountain', 'oak_tree', 'orange', 'pickup_truck', 'plate', 'wardrobe', 'elephant']",192.25317582671377,0.5440176130360911,70.41594275980907,62.136957347787586,False,0.968,0.998,0.967,0.997,0.978,1.0,0.963,1.0,0.977,0.999,0.967,0.999,0.0,0.5072
googlenet,CIFAR100,64,0.763,0.888,0.934,0.961,3,1.16,1.16,1,1,False,,0.1,0.0,0.5107,0.25,False,0,"[46, 26, 62, 44, 58, 16, 36, 75, 59, 29]","['man', 'crab', 'poppy', 'lizard', 'pickup_truck', 'can', 'hamster', 'skunk', 'pine_tree', 'dinosaur']",102.73889964379478,0.15519830246375438,15.475753935746281,8.670102730836433,False,0.927,0.984,0.913,0.986,0.945,0.996,0.918,0.987,0.94,0.997,0.914,0.997,0.0,0.5071
googlenet,CIFAR100,64,0.797,0.923,0.955,0.978,3,1.16,1.16,1,1,False,,0.1,0.0,0.509,0.25,False,0,"[36, 23, 33, 53, 8, 18, 11, 58, 45, 76]","['hamster', 'cloud', 'forest', 'orange', 'bicycle', 'caterpillar', 'boy', 'pickup_truck', 'lobster', 'skyscraper']",192.25317582671377,0.5355294843842184,24.71194877282541,10.018296701538302,False,0.949,0.993,0.945,0.996,0.957,1.0,0.949,0.995,0.955,0.996,0.946,0.997,0.0,0.5052
googlenet,CIFAR100,64,0.788,0.789,0.916,0.934,3,1.16,1.16,1,1,False,,0.1,0.0,0.5097,0.25,False,0,"[5, 8, 40, 9, 16, 20, 84, 86, 87, 25]","['bed', 'bicycle', 'lamp', 'bottle', 'can', 'chair', 'table', 'telephone', 'television', 'couch']",6.329656189062424,0.20783414433733655,2.2565104136991874,2.0338495645473533,False,0.831,0.959,0.796,0.959,0.846,0.978,0.798,0.959,0.839,0.977,0.796,0.967,0.0,0.5052
googlenet,CIFAR100,64,0.859,0.955,0.977,0.988,3,1.16,1.16,1,1,False,,0.1,0.0,0.5111,0.25,False,0,"[0, 39, 49, 52, 53, 20, 62, 58, 61, 94]","['apple', 'keyboard', 'mountain', 'oak_tree', 'orange', 'chair', 'poppy', 'pickup_truck', 'plate', 'wardrobe']",192.25317582671377,0.8441400222921807,73.38938089289127,68.0046691178954,False,0.966,0.998,0.973,0.998,0.985,1.0,0.975,0.999,0.981,0.999,0.973,0.999,0.0,0.5096
googlenet,CIFAR100,64,0.762,0.882,0.941,0.972,3,1.16,1.16,1,1,False,,0.1,0.0,0.5086,0.25,False,0,"[79, 8, 57, 67, 24, 25, 44, 37, 41, 59]","['spider', 'bicycle', 'pear', 'ray', 'cockroach', 'couch', 'lizard', 'house', 'lawn_mower', 'pine_tree']",20.588503787506355,0.3262334335280877,7.673791969772957,6.287517801682485,False,0.922,0.986,0.923,0.99,0.946,0.999,0.909,0.993,0.937,0.998,0.923,0.995,0.0,0.5021
googlenet,CIFAR100,64,0.827,0.925,0.942,0.977,3,1.16,1.16,1,1,False,,0.1,0.0,0.5087,0.25,False,0,"[75, 56, 16, 35, 0, 51, 41, 28, 15, 43]","['skunk', 'palm_tree', 'can', 'girl', 'apple', 'mushroom', 'lawn_mower', 'cup', 'camel', 'lion']",66.9763242836745,0.6413624259673789,15.576687212729109,10.568179179607199,False,0.929,0.984,0.933,0.99,0.957,0.996,0.942,0.993,0.944,0.995,0.933,0.994,0.0,0.5022
googlenet,CIFAR100,64,0.747,0.776,0.913,0.933,3,1.16,1.16,1,1,False,,0.1,0.0,0.5092,0.25,False,0,"[7, 44, 45, 78, 79, 77, 51, 26, 91, 29]","['beetle', 'lizard', 'lobster', 'snake', 'spider', 'snail', 'mushroom', 'crab', 'trout', 'dinosaur']",0.8390733956106174,0.06923331073782021,0.34585241673325967,0.30204523552971996,False,0.826,0.954,0.772,0.953,0.853,0.987,0.79,0.971,0.841,0.984,0.774,0.972,0.0,0.5033
googlenet,CIFAR100,64,0.835,0.951,0.97,0.991,3,1.16,1.16,1,1,False,,0.1,0.0,0.5148,0.25,False,0,"[0, 39, 71, 49, 50, 52, 53, 58, 61, 94]","['apple', 'keyboard', 'sea', 'mountain', 'mouse', 'oak_tree', 'orange', 'pickup_truck', 'plate', 'wardrobe']",192.25317582671377,0.5440176130360911,67.15212737087757,49.09750103727456,False,0.963,0.997,0.959,0.995,0.976,1.0,0.967,1.0,0.973,1.0,0.959,1.0,0.0,0.5047
googlenet,CIFAR100,64,0.713,0.849,0.929,0.961,3,1.16,1.16,1,1,False,,0.1,0.0,0.5077,0.25,False,0,"[95, 69, 31, 3, 37, 70, 44, 29, 61, 35]","['whale', 'rocket', 'elephant', 'bear', 'house', 'rose', 'lizard', 'dinosaur', 'plate', 'girl']",98.22806570461061,0.15519830246375438,20.05525238476795,9.290477944238855,False,0.902,0.981,0.895,0.985,0.93,0.993,0.894,0.993,0.916,0.993,0.895,0.989,0.0,0.5033
googlenet,CIFAR100,64,0.756,0.854,0.932,0.95,3,1.16,1.16,1,1,False,,0.1,0.0,0.5084,0.25,False,0,"[0, 79, 98, 55, 66, 57, 34, 56, 50, 32]","['apple', 'spider', 'woman', 'otter', 'raccoon', 'pear', 'fox', 'palm_tree', 'mouse', 'flatfish']",49.552491459369726,0.4114892739816385,9.43427619290565,3.9490966309097972,False,0.903,0.983,0.894,0.982,0.925,0.995,0.887,0.988,0.923,0.998,0.896,0.991,0.0,0.5041
googlenet,CIFAR100,64,0.741,0.78,0.946,0.977,3,1.16,1.16,1,1,False,,0.1,0.0,0.5059,0.25,False,0,"[96, 33, 68, 27, 72, 75, 47, 55, 56, 59]","['willow_tree', 'forest', 'road', 'crocodile', 'seal', 'skunk', 'maple_tree', 'otter', 'palm_tree', 'pine_tree']",7.107001226641158,0.07439723120836726,1.9507734809110828,1.6665523585980744,False,0.807,0.981,0.789,0.982,0.854,0.997,0.795,0.995,0.815,0.994,0.79,0.988,0.0,0.5048
googlenet,CIFAR100,64,0.833,0.939,0.971,0.983,3,1.16,1.16,1,1,False,,0.1,0.0,0.5106,0.25,False,0,"[32, 0, 39, 71, 52, 53, 62, 58, 61, 94]","['flatfish', 'apple', 'keyboard', 'sea', 'oak_tree', 'orange', 'poppy', 'pickup_truck', 'plate', 'wardrobe']",192.25317582671377,0.8441400222921807,65.54616425885001,46.17501522038269,False,0.969,0.996,0.964,0.995,0.982,0.999,0.964,0.995,0.981,0.998,0.964,0.999,0.0,0.507
googlenet,CIFAR100,64,0.789,0.877,0.941,0.975,3,1.16,1.16,1,1,False,,0.1,0.0,0.5135,0.25,False,0,"[26, 17, 29, 69, 15, 22, 10, 47, 53, 6]","['crab', 'castle', 'dinosaur', 'rocket', 'camel', 'clock', 'bowl', 'maple_tree', 'orange', 'bee']",142.82507148480244,0.1942145024558587,18.1443435746045,8.840534133191255,False,0.92,0.985,0.915,0.99,0.933,0.998,0.915,0.997,0.925,0.998,0.915,0.997,0.0,0.5073
googlenet,CIFAR100,64,0.781,0.904,0.942,0.975,3,1.16,1.16,1,1,False,,0.1,0.0,0.5103,0.25,False,0,"[77, 71, 38, 10, 0, 52, 60, 58, 32, 76]","['snail', 'sea', 'kangaroo', 'bowl', 'apple', 'oak_tree', 'plain', 'pickup_truck', 'flatfish', 'skyscraper']",136.68941761907692,0.41174457205989473,26.97448353861504,17.071887595907782,False,0.931,0.994,0.923,0.995,0.956,0.999,0.944,0.998,0.942,1.0,0.923,1.0,0.0,0.5058
googlenet,CIFAR100,64,0.747,0.777,0.913,0.957,3,1.16,1.16,1,1,False,,0.1,0.0,0.5108,0.25,False,0,"[7, 44, 45, 78, 79, 77, 51, 26, 91, 29]","['beetle', 'lizard', 'lobster', 'snake', 'spider', 'snail', 'mushroom', 'crab', 'trout', 'dinosaur']",0.8390733956106174,0.06923331073782021,0.34585241673325967,0.30204523552971996,False,0.819,0.95,0.775,0.955,0.853,0.987,0.794,0.977,0.833,0.983,0.777,0.967,0.0,0.5017
googlenet,CIFAR100,64,0.861,0.945,0.979,0.995,3,1.16,1.16,1,1,False,,0.1,0.0,0.5177,0.25,False,0,"[0, 39, 71, 49, 52, 53, 54, 58, 61, 94]","['apple', 'keyboard', 'sea', 'mountain', 'oak_tree', 'orange', 'orchid', 'pickup_truck', 'plate', 'wardrobe']",192.25317582671377,0.5440176130360911,70.70239402623602,60.74714176408661,False,0.965,0.997,0.968,0.998,0.98,1.0,0.971,1.0,0.971,0.999,0.969,0.999,0.0,0.5066
