Model Name,Dataset,Quantization Batch Size,Original Top1 Accuracy,Quantized Top1 Accuracy,Original Top5 Accuracy,Quantized Top5 Accuracy,Bits,MLP_Alphabet_Scalar,CNN_Alphabet_Scalar,MLP_Percentile,CNN_Percentile,Stochastic Quantization,Regularizer,Lambda,Original Sparsity,Quantized Sparsity,Retain_rate,Fusion,Seed,Subset_Inds,Subset_Classes,Max_KL,Min_KL,Avg_KL,Median_KL,Classes Repeated,Fine-Tuned Top1 Accuracy,Fine-Tuned Top5 Accuracy,Quant+FT Top1 Accuracy,Quant+FT Top5 Accuracy,Original Top1 Accuracy (Pick Sub),Original Top5 Accuracy (Pick Sub),Quantized Top1 Accuracy (Pick Sub),Quantized Top5 Accuracy (Pick Sub),Fine-Tuned Top1 Accuracy (Pick Sub),Fine-Tuned Top5 Accuracy (Pick Sub),Quant+FT Top1 Accuracy (Pick Sub),Quant+FT Top5 Accuracy (Pick Sub),Fine-Tuned Sparsity,Quant+FT Sparsity
resnet50,CIFAR100,64,0.767,0.752,0.961,0.98,16,1.16,1.16,1,1,False,,0.1,0.0,0.0839,0.25,False,0,"[96, 33, 68, 27, 72, 75, 47, 55, 56, 59]","['willow_tree', 'forest', 'road', 'crocodile', 'seal', 'skunk', 'maple_tree', 'otter', 'palm_tree', 'pine_tree']",7.107001226641158,0.0743972312083672,1.9507734809110828,1.6665523585980744,False,0.838,0.992,0.687,0.971,0.851,0.998,0.757,0.993,0.848,0.998,0.687,0.971,0.0,0.0856
resnet50,CIFAR100,64,0.878,0.957,0.989,0.993,16,1.16,1.16,1,1,False,,0.1,0.0,0.0847,0.25,False,0,"[0, 39, 49, 52, 53, 23, 62, 58, 61, 94]","['apple', 'keyboard', 'mountain', 'oak_tree', 'orange', 'cloud', 'poppy', 'pickup_truck', 'plate', 'wardrobe']",192.25317582671377,0.7019652521171289,72.53466098732422,66.9804369236124,False,0.983,0.999,0.961,0.998,0.981,1.0,0.959,0.999,0.988,1.0,0.961,0.998,0.0,0.0817
resnet50,CIFAR100,64,0.866,0.903,0.979,0.988,16,1.16,1.16,1,1,False,,0.1,0.0,0.0834,0.25,False,0,"[24, 21, 95, 56, 12, 58, 73, 74, 71, 43]","['cockroach', 'chimpanzee', 'whale', 'palm_tree', 'bridge', 'pickup_truck', 'shark', 'shrew', 'sea', 'lion']",47.928266156435306,0.5579436567759732,15.796743425957702,11.335174109837542,False,0.954,0.996,0.879,0.989,0.965,0.997,0.904,0.997,0.96,0.998,0.879,0.989,0.0,0.0837
resnet50,CIFAR100,64,0.821,0.738,0.952,0.949,16,1.16,1.16,1,1,False,,0.1,0.0,0.0794,0.25,False,0,"[99, 7, 44, 45, 78, 79, 77, 26, 91, 29]","['worm', 'beetle', 'lizard', 'lobster', 'snake', 'spider', 'snail', 'crab', 'trout', 'dinosaur']",2.52451934960512,0.0692333107378202,0.5166580626320543,0.3519012029534839,False,0.889,0.988,0.721,0.961,0.894,0.994,0.74,0.962,0.895,0.993,0.721,0.962,0.0,0.0827
resnet50,CIFAR100,64,0.879,0.955,0.989,0.992,16,1.16,1.16,1,1,False,,0.1,0.0,0.087,0.25,False,0,"[0, 1, 39, 71, 49, 52, 53, 58, 61, 94]","['apple', 'aquarium_fish', 'keyboard', 'sea', 'mountain', 'oak_tree', 'orange', 'pickup_truck', 'plate', 'wardrobe']",192.25317582671377,0.5440176130360911,69.25226873583703,61.19456181566977,False,0.982,1.0,0.972,1.0,0.984,1.0,0.957,0.995,0.987,1.0,0.972,1.0,0.0,0.0812
resnet50,CIFAR100,64,0.796,0.871,0.962,0.975,16,1.16,1.16,1,1,False,,0.1,0.0,0.0845,0.25,False,0,"[24, 60, 90, 89, 57, 67, 33, 35, 92, 72]","['cockroach', 'plain', 'train', 'tractor', 'pear', 'ray', 'forest', 'girl', 'tulip', 'seal']",44.85273441778765,0.5278731054775405,10.912363944495524,8.530702553850608,False,0.961,0.995,0.866,0.978,0.97,0.998,0.872,0.989,0.972,0.998,0.866,0.978,0.0,0.085
resnet50,CIFAR100,64,0.823,0.776,0.955,0.967,16,1.16,1.16,1,1,False,,0.1,0.0,0.087,0.25,False,0,"[64, 97, 34, 66, 38, 42, 43, 80, 88, 63]","['possum', 'wolf', 'fox', 'raccoon', 'kangaroo', 'leopard', 'lion', 'squirrel', 'tiger', 'porcupine']",2.2877043224290823,0.1115033507263587,0.7734368790561139,0.7937711868279003,False,0.893,0.989,0.785,0.963,0.888,0.991,0.776,0.977,0.899,0.992,0.785,0.963,0.0,0.0841
resnet50,CIFAR100,64,0.866,0.969,0.989,0.993,16,1.16,1.16,1,1,False,,0.1,0.0,0.0833,0.25,False,0,"[0, 39, 81, 49, 52, 53, 62, 58, 61, 94]","['apple', 'keyboard', 'streetcar', 'mountain', 'oak_tree', 'orange', 'poppy', 'pickup_truck', 'plate', 'wardrobe']",192.25317582671377,0.8441400222921807,71.16407210338333,66.87760926469888,False,0.98,0.998,0.972,0.999,0.984,1.0,0.975,0.998,0.984,1.0,0.972,0.999,0.0,0.0794
resnet50,CIFAR100,64,0.813,0.905,0.971,0.985,16,1.16,1.16,1,1,False,,0.1,0.0,0.0844,0.25,False,0,"[10, 29, 0, 78, 83, 37, 11, 90, 49, 39]","['bowl', 'dinosaur', 'apple', 'snake', 'sweet_pepper', 'house', 'boy', 'train', 'mountain', 'keyboard']",98.3965311689507,0.1518359509107778,20.753570393765266,13.120138257985897,False,0.956,0.998,0.904,0.995,0.963,0.999,0.908,0.996,0.965,0.998,0.904,0.995,0.0,0.0809
resnet50,CIFAR100,64,0.748,0.701,0.963,0.974,16,1.16,1.16,1,1,False,,0.1,0.0,0.0836,0.25,False,0,"[32, 2, 35, 98, 8, 11, 46, 48, 84, 25]","['flatfish', 'baby', 'girl', 'woman', 'bicycle', 'boy', 'man', 'motorcycle', 'table', 'couch']",3.37916282369197,0.0381532870564848,1.5017699498445691,1.522912015598558,False,0.809,0.982,0.709,0.966,0.803,0.989,0.702,0.982,0.813,0.987,0.709,0.967,0.0,0.0835
