Model Name,Dataset,Quantization Batch Size,Original Top1 Accuracy,Quantized Top1 Accuracy,Original Top5 Accuracy,Quantized Top5 Accuracy,Bits,MLP_Alphabet_Scalar,CNN_Alphabet_Scalar,MLP_Percentile,CNN_Percentile,Stochastic Quantization,Regularizer,Lambda,Original Sparsity,Quantized Sparsity,Retain_rate,Fusion,Seed,Subset_Inds,Subset_Classes,Max_KL,Min_KL,Avg_KL,Median_KL,Classes Repeated,Fine-Tuned Top1 Accuracy,Fine-Tuned Top5 Accuracy,Quant+FT Top1 Accuracy,Quant+FT Top5 Accuracy,Original Top1 Accuracy (Pick Sub),Original Top5 Accuracy (Pick Sub),Quantized Top1 Accuracy (Pick Sub),Quantized Top5 Accuracy (Pick Sub),Fine-Tuned Top1 Accuracy (Pick Sub),Fine-Tuned Top5 Accuracy (Pick Sub),Quant+FT Top1 Accuracy (Pick Sub),Quant+FT Top5 Accuracy (Pick Sub),Fine-Tuned Sparsity,Quant+FT Sparsity
googlenet,CIFAR100,64,0.688,0.692,0.922,0.951,4,1.16,1.16,1,1,False,,0.1,0.0,0.3557,0.25,False,0,"[32, 2, 35, 98, 8, 11, 46, 48, 84, 25]","['flatfish', 'baby', 'girl', 'woman', 'bicycle', 'boy', 'man', 'motorcycle', 'table', 'couch']",3.37916282369197,0.03815328705648484,1.5017699498445691,1.522912015598558,False,0.724,0.954,0.714,0.953,0.752,0.985,0.716,0.983,0.736,0.98,0.717,0.972,0.0,0.3557
googlenet,CIFAR100,64,0.833,0.912,0.971,0.98,4,1.16,1.16,1,1,False,,0.1,0.0,0.3562,0.25,False,0,"[32, 0, 39, 71, 52, 53, 62, 58, 61, 94]","['flatfish', 'apple', 'keyboard', 'sea', 'oak_tree', 'orange', 'poppy', 'pickup_truck', 'plate', 'wardrobe']",192.25317582671377,0.8441400222921807,65.54616425885001,46.17501522038269,False,0.969,0.994,0.967,0.994,0.982,0.999,0.977,0.997,0.982,0.998,0.972,0.998,0.0,0.3552
googlenet,CIFAR100,64,0.784,0.874,0.932,0.966,4,1.16,1.16,1,1,False,,0.1,0.0,0.3578,0.25,False,0,"[29, 63, 39, 92, 81, 76, 61, 23, 38, 97]","['dinosaur', 'porcupine', 'keyboard', 'tulip', 'streetcar', 'skyscraper', 'plate', 'cloud', 'kangaroo', 'wolf']",104.41294013402482,0.3460925688422314,27.735518624382966,22.25172140451813,False,0.915,0.992,0.923,0.991,0.947,0.999,0.933,0.996,0.934,0.998,0.923,0.997,0.0,0.3524
googlenet,CIFAR100,64,0.761,0.858,0.934,0.961,4,1.16,1.16,1,1,False,,0.1,0.0,0.3583,0.25,False,0,"[35, 9, 0, 76, 77, 38, 83, 36, 8, 3]","['girl', 'bottle', 'apple', 'skyscraper', 'snail', 'kangaroo', 'sweet_pepper', 'hamster', 'bicycle', 'bear']",84.79022572082721,0.176578705619763,15.812887901657412,11.30903328765843,False,0.925,0.992,0.936,0.993,0.944,0.996,0.924,0.995,0.944,0.995,0.936,0.997,0.0,0.3512
googlenet,CIFAR100,64,0.842,0.856,0.966,0.975,4,1.16,1.16,1,1,False,,0.1,0.0,0.3635,0.25,False,0,"[37, 41, 12, 13, 76, 48, 81, 85, 89, 90]","['house', 'lawn_mower', 'bridge', 'bus', 'skyscraper', 'motorcycle', 'streetcar', 'tank', 'tractor', 'train']",5.12552844804835,0.15183595091077784,1.8085912877292711,1.8236684718009988,False,0.872,0.985,0.862,0.991,0.89,0.995,0.867,0.991,0.88,0.995,0.865,0.992,0.0,0.3548
googlenet,CIFAR100,64,0.859,0.936,0.977,0.986,4,1.16,1.16,1,1,False,,0.1,0.0,0.3653,0.25,False,0,"[0, 39, 49, 52, 53, 20, 62, 58, 61, 94]","['apple', 'keyboard', 'mountain', 'oak_tree', 'orange', 'chair', 'poppy', 'pickup_truck', 'plate', 'wardrobe']",192.25317582671377,0.8441400222921807,73.38938089289127,68.0046691178954,False,0.97,0.998,0.973,0.998,0.985,1.0,0.978,0.998,0.982,1.0,0.974,0.999,0.0,0.3546
googlenet,CIFAR100,64,0.76,0.832,0.943,0.959,4,1.16,1.16,1,1,False,,0.1,0.0,0.3566,0.25,False,0,"[24, 37, 73, 36, 32, 11, 26, 15, 17, 18]","['cockroach', 'house', 'shark', 'hamster', 'flatfish', 'boy', 'crab', 'camel', 'castle', 'caterpillar']",35.47844054824965,0.635033516144523,8.66273985927728,5.601870750072209,False,0.904,0.976,0.905,0.976,0.939,0.992,0.921,0.992,0.918,0.991,0.905,0.99,0.0,0.3512
googlenet,CIFAR100,64,0.772,0.858,0.925,0.955,4,1.16,1.16,1,1,False,,0.1,0.0,0.3537,0.25,False,0,"[2, 45, 47, 16, 50, 97, 12, 76, 21, 15]","['baby', 'lobster', 'maple_tree', 'can', 'mouse', 'wolf', 'bridge', 'skyscraper', 'chimpanzee', 'camel']",36.21273755609828,0.452720558490707,10.718668766647482,9.145466564536399,False,0.93,0.987,0.928,0.991,0.949,0.996,0.935,0.996,0.94,0.996,0.931,0.998,0.0,0.3485
googlenet,CIFAR100,64,0.815,0.857,0.964,0.981,4,1.16,1.16,1,1,False,,0.1,0.0,0.3643,0.25,False,0,"[1, 70, 6, 14, 82, 83, 18, 54, 92, 62]","['aquarium_fish', 'rose', 'bee', 'butterfly', 'sunflower', 'sweet_pepper', 'caterpillar', 'orchid', 'tulip', 'poppy']",6.051047578277625,0.060302231932857206,1.9297738601035155,1.5494294864213438,False,0.851,0.974,0.836,0.975,0.88,0.995,0.871,0.993,0.862,0.994,0.839,0.988,0.0,0.3558
googlenet,CIFAR100,64,0.866,0.954,0.981,0.993,4,1.16,1.16,1,1,False,,0.1,0.0,0.363,0.25,False,0,"[0, 39, 48, 49, 52, 53, 62, 58, 61, 94]","['apple', 'keyboard', 'motorcycle', 'mountain', 'oak_tree', 'orange', 'poppy', 'pickup_truck', 'plate', 'wardrobe']",192.25317582671377,0.8441400222921807,68.26086475066417,54.749677426594346,False,0.974,0.997,0.975,0.998,0.989,1.0,0.985,0.999,0.985,0.999,0.98,0.999,0.0,0.3574
googlenet,CIFAR100,64,0.71,0.822,0.921,0.957,4,1.16,1.16,1,1,False,,0.1,0.0,0.3534,0.25,False,0,"[27, 65, 75, 55, 10, 35, 31, 33, 36, 49]","['crocodile', 'rabbit', 'skunk', 'otter', 'bowl', 'girl', 'elephant', 'forest', 'hamster', 'mountain']",39.20225714262291,0.40740094602578075,7.574456699504092,5.709482302401259,False,0.886,0.982,0.882,0.985,0.911,0.995,0.899,0.994,0.906,0.995,0.887,0.994,0.0,0.3513
googlenet,CIFAR100,64,0.755,0.851,0.922,0.945,4,1.16,1.16,1,1,False,,0.1,0.0,0.3543,0.25,False,0,"[75, 74, 31, 20, 68, 45, 2, 65, 19, 32]","['skunk', 'shrew', 'elephant', 'chair', 'road', 'lobster', 'baby', 'rabbit', 'cattle', 'flatfish']",44.32114650418097,0.4230916343275839,8.293679805884919,4.874856905894305,False,0.891,0.982,0.894,0.987,0.922,0.99,0.903,0.991,0.916,0.992,0.898,0.992,0.0,0.3516
googlenet,CIFAR100,64,0.829,0.838,0.963,0.972,4,1.16,1.16,1,1,False,,0.1,0.0,0.362,0.25,False,0,"[37, 69, 12, 76, 13, 81, 17, 85, 89, 90]","['house', 'rocket', 'bridge', 'skyscraper', 'bus', 'streetcar', 'castle', 'tank', 'tractor', 'train']",7.993174372913189,0.15183595091077784,1.75020299108425,1.3615247750529165,False,0.872,0.985,0.84,0.985,0.869,0.994,0.853,0.99,0.88,0.994,0.841,0.991,0.0,0.3554
googlenet,CIFAR100,64,0.832,0.922,0.971,0.991,4,1.16,1.16,1,1,False,,0.1,0.0,0.3615,0.25,False,0,"[0, 39, 71, 19, 52, 53, 62, 58, 61, 94]","['apple', 'keyboard', 'sea', 'cattle', 'oak_tree', 'orange', 'poppy', 'pickup_truck', 'plate', 'wardrobe']",192.25317582671377,0.8441400222921807,69.16238277467286,55.724711657858265,False,0.969,0.993,0.977,0.996,0.986,1.0,0.982,1.0,0.982,0.998,0.981,0.998,0.0,0.3538
googlenet,CIFAR100,64,0.762,0.853,0.954,0.966,4,1.16,1.16,1,1,False,,0.1,0.0,0.3605,0.25,False,0,"[61, 96, 0, 88, 13, 70, 53, 90, 25, 80]","['plate', 'willow_tree', 'apple', 'tiger', 'bus', 'rose', 'orange', 'train', 'couch', 'squirrel']",157.78216292581618,0.6047083655821777,35.70037879947252,26.523014326829063,False,0.937,0.992,0.933,0.997,0.95,0.997,0.954,0.999,0.946,0.997,0.935,0.999,0.0,0.3533
googlenet,CIFAR100,64,0.728,0.784,0.934,0.949,4,1.16,1.16,1,1,False,,0.1,0.0,0.359,0.25,False,0,"[78, 70, 88, 18, 35, 40, 1, 11, 32, 62]","['snake', 'rose', 'tiger', 'caterpillar', 'girl', 'lamp', 'aquarium_fish', 'boy', 'flatfish', 'poppy']",30.039119972940725,0.03815328705648484,8.19632743777586,5.115008179899655,False,0.829,0.977,0.852,0.979,0.878,0.996,0.849,0.994,0.857,0.994,0.855,0.995,0.0,0.3542
googlenet,CIFAR100,64,0.704,0.735,0.887,0.922,4,1.16,1.16,1,1,False,,0.1,0.0,0.3553,0.25,False,0,"[64, 65, 66, 3, 4, 38, 15, 80, 19, 63]","['possum', 'rabbit', 'raccoon', 'bear', 'beaver', 'kangaroo', 'camel', 'squirrel', 'cattle', 'porcupine']",1.3385017935549222,0.10914609537842913,0.5781571656801886,0.43108420067905884,False,0.77,0.925,0.75,0.935,0.799,0.977,0.767,0.976,0.787,0.972,0.754,0.964,0.0,0.3524
googlenet,CIFAR100,64,0.845,0.927,0.969,0.987,4,1.16,1.16,1,1,False,,0.1,0.0,0.3614,0.25,False,0,"[0, 39, 71, 49, 61, 52, 53, 58, 29, 94]","['apple', 'keyboard', 'sea', 'mountain', 'plate', 'oak_tree', 'orange', 'pickup_truck', 'dinosaur', 'wardrobe']",192.25317582671377,0.5440176130360911,66.18864226179181,46.17501522038269,False,0.965,0.998,0.962,0.999,0.976,1.0,0.964,0.998,0.97,1.0,0.965,1.0,0.0,0.3533
googlenet,CIFAR100,64,0.766,0.829,0.925,0.947,4,1.16,1.16,1,1,False,,0.1,0.0,0.356,0.25,False,0,"[41, 77, 42, 44, 56, 45, 99, 18, 70, 64]","['lawn_mower', 'snail', 'leopard', 'lizard', 'palm_tree', 'lobster', 'worm', 'caterpillar', 'rose', 'possum']",33.33518134964419,0.1187740186557679,7.397487587774746,5.08659647034769,False,0.882,0.981,0.876,0.975,0.91,0.995,0.902,0.991,0.903,0.992,0.879,0.992,0.0,0.3535
googlenet,CIFAR100,64,0.738,0.808,0.919,0.948,4,1.16,1.16,1,1,False,,0.1,0.0,0.3514,0.25,False,0,"[32, 59, 42, 45, 55, 27, 31, 47, 66, 41]","['flatfish', 'pine_tree', 'leopard', 'lobster', 'otter', 'crocodile', 'elephant', 'maple_tree', 'raccoon', 'lawn_mower']",18.60519445300777,0.40740094602578075,5.3292530100683315,3.3822632009960856,False,0.869,0.982,0.864,0.985,0.91,0.997,0.872,0.989,0.888,0.997,0.868,0.993,0.0,0.3495
googlenet,CIFAR100,64,0.703,0.715,0.881,0.895,4,1.16,1.16,1,1,False,,0.1,0.0,0.3563,0.25,False,0,"[64, 65, 66, 4, 38, 74, 15, 80, 50, 63]","['possum', 'rabbit', 'raccoon', 'beaver', 'kangaroo', 'shrew', 'camel', 'squirrel', 'mouse', 'porcupine']",1.4233814839308776,0.1115033507263587,0.5284303713018493,0.41538633450207474,False,0.751,0.923,0.739,0.937,0.775,0.966,0.73,0.953,0.769,0.962,0.741,0.954,0.0,0.3548
googlenet,CIFAR100,64,0.854,0.923,0.974,0.984,4,1.16,1.16,1,1,False,,0.1,0.0,0.3632,0.25,False,0,"[0, 7, 39, 71, 49, 52, 53, 58, 61, 94]","['apple', 'beetle', 'keyboard', 'sea', 'mountain', 'oak_tree', 'orange', 'pickup_truck', 'plate', 'wardrobe']",192.25317582671377,0.5440176130360911,66.56416125502008,49.09750103727456,False,0.961,0.996,0.962,0.996,0.977,0.998,0.97,0.998,0.966,0.999,0.964,0.999,0.0,0.3537
googlenet,CIFAR100,64,0.795,0.857,0.942,0.968,4,1.16,1.16,1,1,False,,0.1,0.0,0.3569,0.25,False,0,"[15, 5, 95, 28, 64, 6, 30, 62, 76, 8]","['camel', 'bed', 'whale', 'cup', 'possum', 'bee', 'dolphin', 'poppy', 'skyscraper', 'bicycle']",52.97274105342733,0.43854637493621035,14.821890826006475,11.603676210020456,False,0.917,0.982,0.915,0.985,0.937,0.996,0.93,0.993,0.932,0.995,0.918,0.996,0.0,0.3505
googlenet,CIFAR100,64,0.755,0.844,0.934,0.959,4,1.16,1.16,1,1,False,,0.1,0.0,0.3561,0.25,False,0,"[4, 70, 87, 72, 80, 43, 69, 13, 61, 97]","['beaver', 'rose', 'television', 'seal', 'squirrel', 'lion', 'rocket', 'bus', 'plate', 'wolf']",82.70996110412375,0.3670911791798615,26.78862909676994,21.56992456144704,False,0.903,0.979,0.882,0.984,0.931,0.999,0.912,0.997,0.92,0.997,0.884,0.994,0.0,0.3515
googlenet,CIFAR100,64,0.815,0.851,0.964,0.979,4,1.16,1.16,1,1,False,,0.1,0.0,0.3641,0.25,False,0,"[1, 70, 6, 14, 82, 83, 18, 54, 92, 62]","['aquarium_fish', 'rose', 'bee', 'butterfly', 'sunflower', 'sweet_pepper', 'caterpillar', 'orchid', 'tulip', 'poppy']",6.051047578277625,0.060302231932857206,1.9297738601035155,1.5494294864213438,False,0.862,0.973,0.839,0.974,0.88,0.995,0.865,0.989,0.871,0.99,0.841,0.985,0.0,0.3552
googlenet,CIFAR100,64,0.859,0.935,0.977,0.987,4,1.16,1.16,1,1,False,,0.1,0.0,0.366,0.25,False,0,"[0, 39, 49, 52, 53, 20, 62, 58, 61, 94]","['apple', 'keyboard', 'mountain', 'oak_tree', 'orange', 'chair', 'poppy', 'pickup_truck', 'plate', 'wardrobe']",192.25317582671377,0.8441400222921807,73.38938089289127,68.0046691178954,False,0.97,0.998,0.981,0.998,0.985,1.0,0.973,0.997,0.984,1.0,0.982,1.0,0.0,0.3542
googlenet,CIFAR100,64,0.783,0.868,0.955,0.975,4,1.16,1.16,1,1,False,,0.1,0.0,0.3586,0.25,False,0,"[0, 6, 92, 78, 83, 41, 33, 87, 15, 13]","['apple', 'bee', 'tulip', 'snake', 'sweet_pepper', 'lawn_mower', 'forest', 'television', 'camel', 'bus']",104.4460129098781,1.0649293201099654,21.039162993682492,13.875054904553949,False,0.915,0.986,0.924,0.99,0.955,0.999,0.936,0.997,0.931,0.999,0.926,0.998,0.0,0.3545
googlenet,CIFAR100,64,0.809,0.889,0.953,0.972,4,1.16,1.16,1,1,False,,0.1,0.0,0.3616,0.25,False,0,"[26, 82, 70, 75, 91, 98, 58, 29, 68, 73]","['crab', 'sunflower', 'rose', 'skunk', 'trout', 'woman', 'pickup_truck', 'dinosaur', 'road', 'shark']",85.7976158105489,0.06923331073782021,15.177361970757087,8.06844136340176,False,0.954,0.988,0.95,0.991,0.958,0.995,0.95,0.995,0.958,0.994,0.952,0.996,0.0,0.3525
