model,dataset,batch_size,original_top1,quantized_top1,original_top5,quantized_top5,bits,mlp_scaler,cnn_scaler,mlp_percentile,cnn_percentile,stochastic,regularizer,lambda,orginal_sparsity,quantized_sparsity,retain_rate,fusion,see,similarity,num_classes,subset_class_names,max_kl_dist,avg_kl_dist
resnet20,CIFAR100,256,0.733,0.724,0.944,0.944,4,1.16,1.16,1,1,False,,0.1,0.0,0.235,0.25,False,0,0,10,"['flatfish', 'apple', 'keyboard', 'sea', 'oak_tree', 'orange', 'poppy', 'pickup_truck', 'plate', 'wardrobe']",192.25317582671377,65.54616425885001
resnet20,CIFAR100,256,0.486,0.485,0.754,0.75,4,1.16,1.16,1,1,False,,0.1,0.0,0.2377,0.25,False,0,1,10,"['possum', 'rabbit', 'raccoon', 'beaver', 'kangaroo', 'shrew', 'camel', 'squirrel', 'mouse', 'porcupine']",1.4233814839308776,0.5284303713018493
resnet20,CIFAR100,256,0.79,0.792,0.962,0.963,4,1.16,1.16,1,1,False,,0.1,0.0,0.2354,0.25,False,0,0,10,"['apple', 'road', 'keyboard', 'mountain', 'oak_tree', 'orange', 'chair', 'poppy', 'pickup_truck', 'wardrobe']",192.25317582671377,70.33548692865787
resnet20,CIFAR100,256,0.574,0.568,0.883,0.884,4,1.16,1.16,1,1,False,,0.1,0.0,0.2386,0.25,False,0,1,10,"['flatfish', 'baby', 'girl', 'woman', 'bicycle', 'boy', 'man', 'motorcycle', 'table', 'couch']",3.37916282369197,1.5017699498445691
resnet20,CIFAR100,256,0.744,0.752,0.934,0.934,4,1.16,1.16,1,1,False,,0.1,0.0,0.2311,0.25,False,0,0,10,"['apple', 'keyboard', 'mountain', 'oak_tree', 'orange', 'chair', 'poppy', 'pickup_truck', 'crocodile', 'wardrobe']",192.25317582671377,68.15024876463326
resnet20,CIFAR100,256,0.624,0.622,0.864,0.858,4,1.16,1.16,1,1,False,,0.1,0.0,0.2312,0.25,False,0,1,10,"['bed', 'lamp', 'bottle', 'bowl', 'bicycle', 'can', 'table', 'clock', 'couch', 'cup']",6.644042948640921,1.9315162233761511
resnet20,CIFAR100,256,0.756,0.741,0.949,0.949,4,1.16,1.16,1,1,False,,0.1,0.0,0.2351,0.25,False,0,0,10,"['apple', 'keyboard', 'mountain', 'oak_tree', 'orange', 'television', 'poppy', 'pickup_truck', 'plate', 'wardrobe']",192.25317582671377,70.45986461284845
resnet20,CIFAR100,256,0.59,0.562,0.854,0.841,4,1.16,1.16,1,1,False,,0.1,0.0,0.2338,0.25,False,0,1,10,"['worm', 'beetle', 'lizard', 'lobster', 'snake', 'spider', 'cockroach', 'crab', 'trout', 'dinosaur']",2.6396293912458226,0.764569520905655
resnet20,CIFAR100,256,0.765,0.768,0.945,0.94,4,1.16,1.16,1,1,False,,0.1,0.0,0.235,0.25,False,0,0,10,"['apple', 'keyboard', 'mountain', 'oak_tree', 'orange', 'clock', 'chair', 'poppy', 'pickup_truck', 'wardrobe']",192.25317582671377,68.57959139455657
resnet20,CIFAR100,256,0.719,0.704,0.939,0.931,4,1.16,1.16,1,1,False,,0.1,0.0,0.2343,0.25,False,0,1,10,"['house', 'rocket', 'bridge', 'skyscraper', 'bus', 'streetcar', 'castle', 'tank', 'tractor', 'train']",7.993174372913189,1.75020299108425
resnet20,CIFAR100,256,0.752,0.764,0.938,0.936,4,1.16,1.16,1,1,False,,0.1,0.0,0.2367,0.25,False,0,0,10,"['apple', 'keyboard', 'mountain', 'oak_tree', 'orange', 'chair', 'poppy', 'pickup_truck', 'turtle', 'wardrobe']",192.25317582671377,68.195158530358
resnet20,CIFAR100,256,0.719,0.704,0.939,0.931,4,1.16,1.16,1,1,False,,0.1,0.0,0.2343,0.25,False,0,1,10,"['house', 'rocket', 'bridge', 'skyscraper', 'bus', 'streetcar', 'castle', 'tank', 'tractor', 'train']",7.993174372913189,1.75020299108425
resnet20,CIFAR100,256,0.755,0.753,0.952,0.952,4,1.16,1.16,1,1,False,,0.1,0.0,0.238,0.25,False,0,0,10,"['apple', 'keyboard', 'mountain', 'oak_tree', 'orange', 'cloud', 'poppy', 'pickup_truck', 'plate', 'wardrobe']",192.25317582671377,72.53466098732422
resnet20,CIFAR100,256,0.454,0.46,0.803,0.801,4,1.16,1.16,1,1,False,,0.1,0.0,0.2357,0.25,False,0,1,10,"['forest', 'ray', 'beaver', 'seal', 'shark', 'otter', 'crocodile', 'turtle', 'dolphin', 'whale']",6.930972218413362,1.7424212975413398
