model,dataset,batch_size,original_top1,quantized_top1,original_top5,quantized_top5,bits,mlp_scaler,cnn_scaler,mlp_percentile,cnn_percentile,stochastic,regularizer,lambda,orginal_sparsity,quantized_sparsity,retain_rate,fusion,see,similarity,num_classes,subset_class_names,max_kl_dist,avg_kl_dist
resnet20,CIFAR100,256,0.744,0.752,0.934,0.934,4,1.16,1.16,1,1,False,,0.1,0.0,0.2311,0.25,False,0,0,10,"['apple', 'keyboard', 'mountain', 'oak_tree', 'orange', 'chair', 'poppy', 'pickup_truck', 'crocodile', 'wardrobe']",192.25317582671377,68.15024876463326
resnet20,CIFAR100,256,0.59,0.6,0.803,0.813,4,1.16,1.16,1,1,False,,0.1,0.0,0.2366,0.25,False,0,1,10,"['possum', 'wolf', 'fox', 'raccoon', 'kangaroo', 'leopard', 'lion', 'squirrel', 'tiger', 'porcupine']",2.2877043224290823,0.7734368790561139
resnet20,CIFAR100,256,0.763,0.76,0.953,0.948,4,1.16,1.16,1,1,False,,0.1,0.0,0.2325,0.25,False,0,0,10,"['apple', 'keyboard', 'mountain', 'oak_tree', 'orange', 'chair', 'poppy', 'pickup_truck', 'plate', 'wardrobe']",192.25317582671377,73.38938089289127
resnet20,CIFAR100,256,0.734,0.707,0.95,0.941,4,1.16,1.16,1,1,False,,0.1,0.0,0.2327,0.25,False,0,1,10,"['apple', 'aquarium_fish', 'rose', 'bee', 'sweet_pepper', 'orange', 'orchid', 'pear', 'tulip', 'poppy']",12.526491388636506,3.7293041127812177
resnet20,CIFAR100,256,0.761,0.756,0.952,0.946,4,1.16,1.16,1,1,False,,0.1,0.0,0.2351,0.25,False,0,0,10,"['apple', 'keyboard', 'sea', 'leopard', 'mountain', 'oak_tree', 'orange', 'pickup_truck', 'plate', 'wardrobe']",192.25317582671377,70.41185325391487
resnet20,CIFAR100,256,0.668,0.674,0.895,0.895,4,1.16,1.16,1,1,False,,0.1,0.0,0.232,0.25,False,0,1,10,"['bed', 'bicycle', 'lamp', 'lawn_mower', 'boy', 'motorcycle', 'table', 'telephone', 'television', 'couch']",7.3148195901587005,2.107963247967088
resnet20,CIFAR100,256,0.726,0.73,0.929,0.931,4,1.16,1.16,1,1,False,,0.1,0.0,0.231,0.25,False,0,0,10,"['possum', 'apple', 'keyboard', 'sea', 'mountain', 'oak_tree', 'orange', 'pickup_truck', 'plate', 'wardrobe']",192.25317582671377,68.45712866212384
resnet20,CIFAR100,256,0.565,0.56,0.837,0.819,4,1.16,1.16,1,1,False,,0.1,0.0,0.234,0.25,False,0,1,10,"['beetle', 'lizard', 'lobster', 'snake', 'spider', 'snail', 'mushroom', 'crab', 'trout', 'dinosaur']",0.8390733956106174,0.34585241673325967
resnet20,CIFAR100,256,0.778,0.775,0.962,0.959,4,1.16,1.16,1,1,False,,0.1,0.0,0.232,0.25,False,0,0,10,"['apple', 'sea', 'keyboard', 'mountain', 'oak_tree', 'orange', 'chair', 'poppy', 'pickup_truck', 'wardrobe']",192.25317582671377,73.30075509348308
resnet20,CIFAR100,256,0.418,0.414,0.746,0.748,4,1.16,1.16,1,1,False,,0.1,0.0,0.2351,0.25,False,0,1,10,"['rabbit', 'ray', 'beaver', 'seal', 'shrew', 'dinosaur', 'mouse', 'otter', 'crocodile', 'turtle']",3.130085078659681,0.9496662330382847
