model,dataset,batch_size,original_top1,subset_top1,all_top1,original_top5,subset_top5,all_top5,bits,mlp_scalar,cnn_scalar,mlp_percentile,cnn_percentile,stochastic,regularizer,lambda,original_sparsity,subset_sparsity,all_sparsity,retain_rate,fusion,seed,similar,num_classes,subset_names,max_kl_dist,avg_kl_dist
resnet20,CIFAR100,256,0.658,0.643,0.67,0.887,0.888,0.883,4,1.16,1.16,1,1,False,,0.1,0.0,0.233,0.2325,0.25,False,0,[1],10,"['cattle', 'bridge', 'oak_tree', 'pear', 'sea', 'can', 'train', 'chimpanzee', 'road', 'snail']",85.82982620848702,15.619073868131075
resnet20,CIFAR100,256,0.716,0.726,0.726,0.909,0.905,0.91,4,1.16,1.16,1,1,False,,0.1,0.0,0.2353,0.2357,0.25,False,0,[1],10,"['skyscraper', 'motorcycle', 'bicycle', 'orange', 'man', 'butterfly', 'bottle', 'keyboard', 'can', 'crocodile']",154.86599452440151,23.62208907056337
resnet20,CIFAR100,256,0.566,0.57,0.565,0.832,0.824,0.819,4,1.16,1.16,1,1,False,,0.1,0.0,0.2327,0.232,0.25,False,0,[1],10,"['shark', 'orchid', 'rocket', 'bowl', 'dinosaur', 'television', 'lizard', 'possum', 'flatfish', 'man']",43.07832739755871,8.810934302924434
resnet20,CIFAR100,256,0.658,0.652,0.652,0.873,0.868,0.873,4,1.16,1.16,1,1,False,,0.1,0.0,0.2336,0.2366,0.25,False,0,[1],10,"['dolphin', 'mushroom', 'aquarium_fish', 'tank', 'cattle', 'lamp', 'table', 'palm_tree', 'can', 'whale']",38.80557155402066,10.699234979582986
resnet20,CIFAR100,256,0.587,0.57,0.572,0.859,0.855,0.856,4,1.16,1.16,1,1,False,,0.1,0.0,0.2328,0.2353,0.25,False,0,[1],10,"['rabbit', 'telephone', 'tiger', 'skunk', 'spider', 'dinosaur', 'dolphin', 'whale', 'mushroom', 'boy']",53.660786592279166,9.21245032271399
resnet20,CIFAR100,256,0.573,0.57,0.561,0.87,0.866,0.867,4,1.16,1.16,1,1,False,,0.1,0.0,0.233,0.2308,0.25,False,0,[1],10,"['woman', 'wolf', 'chimpanzee', 'motorcycle', 'tulip', 'beaver', 'bed', 'bridge', 'mouse', 'girl']",35.081613970215365,11.022534953909041
resnet20,CIFAR100,256,0.603,0.578,0.583,0.834,0.823,0.827,4,1.16,1.16,1,1,False,,0.1,0.0,0.2362,0.2362,0.25,False,0,[1],10,"['bee', 'trout', 'lamp', 'squirrel', 'cockroach', 'chair', 'lobster', 'shrew', 'possum', 'forest']",33.21653403086347,7.590938519164103
resnet20,CIFAR100,256,0.611,0.575,0.562,0.858,0.848,0.849,4,1.16,1.16,1,1,False,,0.1,0.0,0.2312,0.2318,0.25,False,0,[1],10,"['bear', 'tiger', 'poppy', 'worm', 'otter', 'tractor', 'rose', 'clock', 'woman', 'cockroach']",45.957107474875215,14.360590257868333
resnet20,CIFAR100,256,0.631,0.639,0.648,0.869,0.865,0.869,4,1.16,1.16,1,1,False,,0.1,0.0,0.2387,0.2314,0.25,False,0,[1],10,"['crocodile', 'caterpillar', 'bridge', 'orange', 'pear', 'shark', 'bus', 'butterfly', 'elephant', 'tractor']",157.78216292581618,23.032002807161657
resnet20,CIFAR100,256,0.604,0.607,0.611,0.838,0.84,0.834,4,1.16,1.16,1,1,False,,0.1,0.0,0.2393,0.2357,0.25,False,0,[1],10,"['turtle', 'clock', 'streetcar', 'can', 'plate', 'possum', 'apple', 'chimpanzee', 'television', 'kangaroo']",92.31170057295412,27.23700008306751
