model,dataset,batch_size,original_top1,subset_top1,all_top1,original_top5,subset_top5,all_top5,bits,mlp_scalar,cnn_scalar,mlp_percentile,cnn_percentile,stochastic,regularizer,lambda,original_sparsity,subset_sparsity,all_sparsity,retain_rate,fusion,seed,similar,num_classes,subset_names,max_kl_dist,avg_kl_dist
mobilenetv2_x0_5,CIFAR100,256,0.586,0.584,0.585,0.833,0.831,0.832,4,1.16,1.16,1,1,False,,0.1,0.0,0.211,0.2093,0.25,False,0,[1],10,"['squirrel', 'tractor', 'otter', 'orange', 'bear', 'shark', 'aquarium_fish', 'snail', 'couch', 'crocodile']",111.91122562431313,16.1195109298238
mobilenetv2_x0_5,CIFAR100,256,0.729,0.729,0.728,0.902,0.902,0.901,4,1.16,1.16,1,1,False,,0.1,0.0,0.2085,0.2097,0.25,False,0,[1],10,"['flatfish', 'beetle', 'squirrel', 'orange', 'spider', 'road', 'cup', 'tank', 'caterpillar', 'skyscraper']",144.66645613860416,17.03270199550242
mobilenetv2_x0_5,CIFAR100,256,0.618,0.623,0.619,0.868,0.869,0.868,4,1.16,1.16,1,1,False,,0.1,0.0,0.2094,0.2101,0.25,False,0,[1],10,"['tiger', 'streetcar', 'boy', 'lamp', 'dinosaur', 'bottle', 'lobster', 'cockroach', 'beaver', 'kangaroo']",38.72206234838031,8.891419265455296
mobilenetv2_x0_5,CIFAR100,256,0.689,0.693,0.69,0.889,0.89,0.889,4,1.16,1.16,1,1,False,,0.1,0.0,0.2089,0.2111,0.25,False,0,[1],10,"['squirrel', 'oak_tree', 'aquarium_fish', 'otter', 'television', 'bed', 'tiger', 'cattle', 'motorcycle', 'wardrobe']",103.46117331048481,24.42396650074696
mobilenetv2_x0_75,CIFAR100,256,0.655,0.655,0.654,0.907,0.905,0.905,4,1.16,1.16,1,1,False,,0.1,0.0,0.2227,0.2225,0.25,False,0,[1],10,"['oak_tree', 'skyscraper', 'otter', 'chair', 'telephone', 'forest', 'seal', 'mouse', 'dolphin', 'lawn_mower']",118.7829938521103,19.524065967015005
mobilenetv2_x0_75,CIFAR100,256,0.697,0.697,0.698,0.905,0.903,0.905,4,1.16,1.16,1,1,False,,0.1,0.0,0.2237,0.2235,0.25,False,0,[1],10,"['camel', 'tractor', 'bus', 'couch', 'possum', 'skyscraper', 'rabbit', 'poppy', 'cloud', 'tank']",74.34253347467452,14.34739940943428
mobilenetv2_x0_75,CIFAR100,256,0.679,0.68,0.68,0.894,0.894,0.893,4,1.16,1.16,1,1,False,,0.1,0.0,0.2223,0.2231,0.25,False,0,[1],10,"['baby', 'porcupine', 'cattle', 'willow_tree', 'plate', 'road', 'hamster', 'dinosaur', 'palm_tree', 'house']",87.94451120807915,16.936462624616716
mobilenetv2_x0_75,CIFAR100,256,0.741,0.74,0.743,0.922,0.921,0.922,4,1.16,1.16,1,1,False,,0.1,0.0,0.2236,0.2231,0.25,False,0,[1],10,"['cloud', 'keyboard', 'crab', 'maple_tree', 'rocket', 'road', 'table', 'cattle', 'television', 'porcupine']",60.61150323952877,13.423226998717837
mobilenetv2_x0_75,CIFAR100,256,0.662,0.661,0.661,0.893,0.891,0.892,4,1.16,1.16,1,1,False,,0.1,0.0,0.2233,0.2236,0.25,False,0,[1],10,"['rocket', 'telephone', 'crab', 'plate', 'seal', 'orchid', 'leopard', 'bowl', 'couch', 'tank']",73.68666770230925,16.69340781070301
mobilenetv2_x0_75,CIFAR100,256,0.694,0.697,0.694,0.896,0.896,0.894,4,1.16,1.16,1,1,False,,0.1,0.0,0.2234,0.2225,0.25,False,0,[1],10,"['apple', 'tank', 'elephant', 'trout', 'skyscraper', 'cattle', 'seal', 'poppy', 'hamster', 'possum']",84.79022572082721,17.651723667036332
mobilenetv2_x0_75,CIFAR100,256,0.69,0.689,0.69,0.917,0.917,0.916,4,1.16,1.16,1,1,False,,0.1,0.0,0.2225,0.2237,0.25,False,0,[1],10,"['lion', 'orange', 'cloud', 'seal', 'tiger', 'pear', 'baby', 'sea', 'mountain', 'lobster']",151.67362445787057,25.637608952883213
mobilenetv2_x0_75,CIFAR100,256,0.669,0.67,0.669,0.901,0.899,0.9,4,1.16,1.16,1,1,False,,0.1,0.0,0.2233,0.2232,0.25,False,0,[1],10,"['chimpanzee', 'plate', 'oak_tree', 'pear', 'telephone', 'rose', 'shark', 'can', 'couch', 'sea']",120.57787110778416,33.95926137537761
mobilenetv2_x0_75,CIFAR100,256,0.668,0.669,0.667,0.865,0.865,0.867,4,1.16,1.16,1,1,False,,0.1,0.0,0.2228,0.2242,0.25,False,0,[1],10,"['trout', 'skunk', 'kangaroo', 'baby', 'chair', 'cup', 'sweet_pepper', 'bus', 'snake', 'tulip']",60.52676238853514,15.737477741255523
mobilenetv2_x0_75,CIFAR100,256,0.707,0.705,0.707,0.919,0.919,0.921,4,1.16,1.16,1,1,False,,0.1,0.0,0.2234,0.2227,0.25,False,0,[1],10,"['bee', 'clock', 'ray', 'streetcar', 'flatfish', 'dolphin', 'poppy', 'chair', 'house', 'crab']",88.38643956958367,19.285837698926006
mobilenetv2_x0_75,CIFAR100,256,0.664,0.663,0.667,0.911,0.911,0.91,4,1.16,1.16,1,1,False,,0.1,0.0,0.2233,0.2242,0.25,False,0,[1],10,"['sweet_pepper', 'wardrobe', 'lamp', 'orange', 'road', 'girl', 'otter', 'baby', 'train', 'bear']",144.82702283606255,27.57256563691612
mobilenetv2_x0_75,CIFAR100,256,0.737,0.736,0.74,0.94,0.938,0.936,4,1.16,1.16,1,1,False,,0.1,0.0,0.2236,0.2231,0.25,False,0,[1],10,"['boy', 'pine_tree', 'crab', 'plain', 'bottle', 'cockroach', 'aquarium_fish', 'mountain', 'tank', 'beetle']",40.68050737234813,12.478774376376041
mobilenetv2_x0_75,CIFAR100,256,0.642,0.643,0.64,0.894,0.894,0.895,4,1.16,1.16,1,1,False,,0.1,0.0,0.2223,0.2246,0.25,False,0,[1],10,"['keyboard', 'camel', 'streetcar', 'train', 'crab', 'man', 'porcupine', 'seal', 'spider', 'shark']",40.50919965960545,10.00902771678503
mobilenetv2_x0_75,CIFAR100,256,0.705,0.707,0.708,0.901,0.899,0.899,4,1.16,1.16,1,1,False,,0.1,0.0,0.2238,0.2227,0.25,False,0,[1],10,"['forest', 'turtle', 'snail', 'can', 'chair', 'sunflower', 'flatfish', 'house', 'shark', 'mushroom']",56.698347491299145,12.374699697204806
mobilenetv2_x0_75,CIFAR100,256,0.703,0.703,0.704,0.924,0.92,0.921,4,1.16,1.16,1,1,False,,0.1,0.0,0.2225,0.223,0.25,False,0,[1],10,"['boy', 'pine_tree', 'keyboard', 'palm_tree', 'leopard', 'lobster', 'pickup_truck', 'bicycle', 'wolf', 'shark']",46.20965070402707,13.733727096171899
mobilenetv2_x0_75,CIFAR100,256,0.681,0.681,0.681,0.907,0.907,0.907,4,1.16,1.16,1,1,False,,0.1,0.0,0.2238,0.2233,0.25,False,0,[1],10,"['otter', 'chimpanzee', 'raccoon', 'crab', 'porcupine', 'bicycle', 'apple', 'bottle', 'pine_tree', 'woman']",64.61541170812949,13.786408906190553
mobilenetv2_x0_75,CIFAR100,256,0.716,0.72,0.716,0.905,0.906,0.906,4,1.16,1.16,1,1,False,,0.1,0.0,0.2243,0.2241,0.25,False,0,[1],10,"['sea', 'bed', 'cloud', 'orange', 'pine_tree', 'turtle', 'otter', 'chair', 'raccoon', 'possum']",151.67362445787057,28.073884832768332
mobilenetv2_x0_75,CIFAR100,256,0.706,0.705,0.708,0.887,0.886,0.886,4,1.16,1.16,1,1,False,,0.1,0.0,0.2226,0.2232,0.25,False,0,[1],10,"['clock', 'otter', 'orchid', 'television', 'worm', 'mountain', 'flatfish', 'rabbit', 'wolf', 'cockroach']",47.52462676875787,14.881799203083455
mobilenetv2_x0_75,CIFAR100,256,0.649,0.651,0.649,0.883,0.884,0.883,4,1.16,1.16,1,1,False,,0.1,0.0,0.2243,0.223,0.25,False,0,[1],10,"['worm', 'bottle', 'mouse', 'bus', 'dolphin', 'plate', 'ray', 'snail', 'lamp', 'chair']",108.09524313570456,20.89141569986648
mobilenetv2_x0_75,CIFAR100,256,0.709,0.707,0.708,0.902,0.901,0.903,4,1.16,1.16,1,1,False,,0.1,0.0,0.2229,0.2244,0.25,False,0,[1],10,"['motorcycle', 'porcupine', 'mushroom', 'crocodile', 'elephant', 'shrew', 'orange', 'streetcar', 'beetle', 'bee']",137.88551230135542,17.74001186732862
mobilenetv2_x0_75,CIFAR100,256,0.693,0.692,0.694,0.893,0.894,0.893,4,1.16,1.16,1,1,False,,0.1,0.0,0.2225,0.2229,0.25,False,0,[1],10,"['cup', 'shrew', 'clock', 'dolphin', 'tractor', 'crab', 'pine_tree', 'possum', 'television', 'skyscraper']",39.54601826053269,13.189143877734661
mobilenetv2_x0_75,CIFAR100,256,0.672,0.674,0.673,0.882,0.885,0.879,4,1.16,1.16,1,1,False,,0.1,0.0,0.2237,0.2238,0.25,False,0,[1],10,"['cattle', 'sweet_pepper', 'whale', 'plate', 'otter', 'mouse', 'elephant', 'orange', 'mountain', 'cup']",137.1137602293715,28.820986353657432
mobilenetv2_x0_75,CIFAR100,256,0.756,0.757,0.756,0.962,0.958,0.961,4,1.16,1.16,1,1,False,,0.1,0.0,0.2238,0.2235,0.25,False,0,[1],10,"['dolphin', 'bee', 'rose', 'fox', 'plain', 'pickup_truck', 'sea', 'bicycle', 'oak_tree', 'tractor']",85.7976158105489,24.29281065585687
