Model Name,Dataset,Quantization Batch Size,Original Top1 Accuracy,Quantized Top1 Accuracy,Original Top5 Accuracy,Quantized Top5 Accuracy,Bits,MLP_Alphabet_Scalar,CNN_Alphabet_Scalar,MLP_Percentile,CNN_Percentile,Stochastic Quantization,Regularizer,Lambda,Original Sparsity,Quantized Sparsity,Retain_rate,Fusion,Seed,Subset_Inds,Subset_Classes,Max_KL,Min_KL,Avg_KL,Median_KL,Classes Repeated,Fine-Tuned Top1 Accuracy,Fine-Tuned Top5 Accuracy,Quant+FT Top1 Accuracy,Quant+FT Top5 Accuracy,Original Top1 Accuracy (Pick Sub),Original Top5 Accuracy (Pick Sub),Quantized Top1 Accuracy (Pick Sub),Quantized Top5 Accuracy (Pick Sub),Fine-Tuned Top1 Accuracy (Pick Sub),Fine-Tuned Top5 Accuracy (Pick Sub),Quant+FT Top1 Accuracy (Pick Sub),Quant+FT Top5 Accuracy (Pick Sub),Fine-Tuned Sparsity,Quant+FT Sparsity
resnet50,CIFAR100,64,0.767,0.57,0.961,0.961,4,1.16,1.16,1,1,False,,0.1,0.0,0.4797,0.25,False,0,"[96, 33, 68, 27, 72, 75, 47, 55, 56, 59]","['willow_tree', 'forest', 'road', 'crocodile', 'seal', 'skunk', 'maple_tree', 'otter', 'palm_tree', 'pine_tree']",7.107001226641158,0.0743972312083672,1.9507734809110828,1.6665523585980744,False,0.838,0.994,0.477,0.914,0.851,0.998,0.572,0.971,0.847,0.997,0.477,0.917,0.0,0.4779
resnet50,CIFAR100,64,0.878,0.908,0.989,0.99,4,1.16,1.16,1,1,False,,0.1,0.0,0.4839,0.25,False,0,"[0, 39, 49, 52, 53, 23, 62, 58, 61, 94]","['apple', 'keyboard', 'mountain', 'oak_tree', 'orange', 'cloud', 'poppy', 'pickup_truck', 'plate', 'wardrobe']",192.25317582671377,0.7019652521171289,72.53466098732422,66.9804369236124,False,0.982,0.999,0.89,0.991,0.981,1.0,0.909,0.993,0.987,1.0,0.89,0.991,0.0,0.4758
resnet50,CIFAR100,64,0.866,0.771,0.979,0.97,4,1.16,1.16,1,1,False,,0.1,0.0,0.478,0.25,False,0,"[24, 21, 95, 56, 12, 58, 73, 74, 71, 43]","['cockroach', 'chimpanzee', 'whale', 'palm_tree', 'bridge', 'pickup_truck', 'shark', 'shrew', 'sea', 'lion']",47.928266156435306,0.5579436567759732,15.796743425957702,11.335174109837542,False,0.955,0.996,0.554,0.936,0.965,0.997,0.771,0.978,0.961,0.998,0.554,0.938,0.0,0.4801
resnet50,CIFAR100,64,0.821,0.414,0.952,0.84,4,1.16,1.16,1,1,False,,0.1,0.0,0.4809,0.25,False,0,"[99, 7, 44, 45, 78, 79, 77, 26, 91, 29]","['worm', 'beetle', 'lizard', 'lobster', 'snake', 'spider', 'snail', 'crab', 'trout', 'dinosaur']",2.52451934960512,0.0692333107378202,0.5166580626320543,0.3519012029534839,False,0.889,0.987,0.403,0.847,0.894,0.994,0.415,0.875,0.895,0.994,0.403,0.849,0.0,0.4858
resnet50,CIFAR100,64,0.879,0.894,0.989,0.989,4,1.16,1.16,1,1,False,,0.1,0.0,0.4871,0.25,False,0,"[0, 1, 39, 71, 49, 52, 53, 58, 61, 94]","['apple', 'aquarium_fish', 'keyboard', 'sea', 'mountain', 'oak_tree', 'orange', 'pickup_truck', 'plate', 'wardrobe']",192.25317582671377,0.5440176130360911,69.25226873583703,61.19456181566977,False,0.982,1.0,0.891,0.989,0.984,1.0,0.894,0.995,0.986,1.0,0.891,0.989,0.0,0.4779
resnet50,CIFAR100,64,0.796,0.673,0.962,0.957,4,1.16,1.16,1,1,False,,0.1,0.0,0.4799,0.25,False,0,"[24, 60, 90, 89, 57, 67, 33, 35, 92, 72]","['cockroach', 'plain', 'train', 'tractor', 'pear', 'ray', 'forest', 'girl', 'tulip', 'seal']",44.85273441778765,0.5278731054775405,10.912363944495524,8.530702553850608,False,0.96,0.996,0.652,0.914,0.97,0.998,0.673,0.976,0.972,0.998,0.652,0.915,0.0,0.473
resnet50,CIFAR100,64,0.823,0.521,0.955,0.879,4,1.16,1.16,1,1,False,,0.1,0.0,0.4777,0.25,False,0,"[64, 97, 34, 66, 38, 42, 43, 80, 88, 63]","['possum', 'wolf', 'fox', 'raccoon', 'kangaroo', 'leopard', 'lion', 'squirrel', 'tiger', 'porcupine']",2.2877043224290823,0.1115033507263587,0.7734368790561139,0.7937711868279003,False,0.893,0.989,0.505,0.867,0.888,0.991,0.521,0.892,0.901,0.993,0.505,0.867,0.0,0.4808
resnet50,CIFAR100,64,0.866,0.883,0.989,0.984,4,1.16,1.16,1,1,False,,0.1,0.0,0.487,0.25,False,0,"[0, 39, 81, 49, 52, 53, 62, 58, 61, 94]","['apple', 'keyboard', 'streetcar', 'mountain', 'oak_tree', 'orange', 'poppy', 'pickup_truck', 'plate', 'wardrobe']",192.25317582671377,0.8441400222921807,71.16407210338333,66.87760926469888,False,0.98,0.999,0.806,0.992,0.984,1.0,0.883,0.988,0.982,1.0,0.806,0.993,0.0,0.4789
resnet50,CIFAR100,64,0.813,0.67,0.971,0.921,4,1.16,1.16,1,1,False,,0.1,0.0,0.4833,0.25,False,0,"[10, 29, 0, 78, 83, 37, 11, 90, 49, 39]","['bowl', 'dinosaur', 'apple', 'snake', 'sweet_pepper', 'house', 'boy', 'train', 'mountain', 'keyboard']",98.3965311689507,0.1518359509107778,20.753570393765266,13.120138257985897,False,0.959,0.997,0.629,0.897,0.963,0.999,0.671,0.948,0.968,0.998,0.629,0.897,0.0,0.4764
resnet50,CIFAR100,64,0.748,0.426,0.963,0.888,4,1.16,1.16,1,1,False,,0.1,0.0,0.4865,0.25,False,0,"[32, 2, 35, 98, 8, 11, 46, 48, 84, 25]","['flatfish', 'baby', 'girl', 'woman', 'bicycle', 'boy', 'man', 'motorcycle', 'table', 'couch']",3.37916282369197,0.0381532870564848,1.5017699498445691,1.522912015598558,False,0.811,0.982,0.42,0.869,0.803,0.989,0.426,0.894,0.815,0.987,0.42,0.871,0.0,0.4811
resnet50,CIFAR100,64,0.863,0.863,0.985,0.984,4,1.16,1.16,1,1,False,,0.1,0.0,0.482,0.25,False,0,"[0, 39, 73, 49, 52, 53, 62, 58, 61, 94]","['apple', 'keyboard', 'shark', 'mountain', 'oak_tree', 'orange', 'poppy', 'pickup_truck', 'plate', 'wardrobe']",192.25317582671377,0.8441400222921807,70.98291672463468,64.10025423945821,False,0.984,0.999,0.854,0.985,0.986,1.0,0.863,0.991,0.988,1.0,0.854,0.985,0.0,0.4802
resnet50,CIFAR100,64,0.81,0.651,0.962,0.895,4,1.16,1.16,1,1,False,,0.1,0.0,0.4765,0.25,False,0,"[61, 97, 41, 17, 83, 84, 14, 32, 74, 95]","['plate', 'wolf', 'lawn_mower', 'castle', 'sweet_pepper', 'table', 'butterfly', 'flatfish', 'shrew', 'whale']",98.2280657046106,1.7147052444778144,21.09501949987561,13.324729917525872,False,0.968,0.997,0.606,0.942,0.97,0.996,0.651,0.954,0.978,0.998,0.606,0.942,0.0,0.4779
resnet50,CIFAR100,64,0.883,0.664,0.978,0.952,4,1.16,1.16,1,1,False,,0.1,0.0,0.4806,0.25,False,0,"[37, 41, 12, 13, 76, 48, 81, 85, 89, 90]","['house', 'lawn_mower', 'bridge', 'bus', 'skyscraper', 'motorcycle', 'streetcar', 'tank', 'tractor', 'train']",5.12552844804835,0.1518359509107778,1.8085912877292711,1.8236684718009988,False,0.924,0.992,0.616,0.934,0.916,0.996,0.664,0.956,0.925,0.997,0.616,0.936,0.0,0.484
resnet50,CIFAR100,64,0.881,0.903,0.989,0.988,4,1.16,1.16,1,1,False,,0.1,0.0,0.4845,0.25,False,0,"[0, 39, 71, 49, 52, 53, 54, 58, 61, 94]","['apple', 'keyboard', 'sea', 'mountain', 'oak_tree', 'orange', 'orchid', 'pickup_truck', 'plate', 'wardrobe']",192.25317582671377,0.5440176130360911,70.70239402623602,60.74714176408661,False,0.979,1.0,0.813,0.988,0.985,1.0,0.903,0.992,0.983,1.0,0.813,0.988,0.0,0.4831
